prompt,response

What is Amitabh Bachchan's full name?,Amitabh Srivastava
What is Amitabh's birth place?,"Allahabad, United Provinces, British India (present-day Prayagraj, Uttar Pradesh, India)"
What is Amitabh's nationality?,Indian
What is Amitabh's profession?,"Actor, producer, television presenter"
What is Amitabh's height?,"1.88 m (6 ft 2 in)What is the name of the school where Bachchan was educated?_,Sherwood College"
What was the name of the first film Bachchan worked on?,Bhuvan Shome
What is the name of the film that gave Bachchan his big break?,Anand
What is the name of the film Bachchan starred in with Amitabh Bachchan?,Amar Akbar Anthony
What is the name of the film that Bachchan won his fourth National Film Award for Best Actor?,Piku
